Year,State,Sex,Age,Uncontrolled_Direct Costs,Uncontrolled_Indirect Costs,Uncontrolled_QALYs_Lost
19,US,Female,15 to 19 years,692583498,1709429055,35620
19,US,Female,20 to 24 years,717307251,1770413818,36891
19,US,Female,25 to 29 years,728031121,1796839840,37442
19,US,Female,30 to 34 years,686310950,1693828403,35296
19,US,Female,35 to 39 years,646781031,1596224595,33263
19,US,Female,40 to 44 years,604767981,1492495108,31101
19,US,Female,45 to 49 years,631272228,1557856152,32464
19,US,Female,50 to 54 years,649342927,1602398203,33393
19,US,Female,55 to 59 years,646044674,1594203112,33222
19,US,Female,60 to 64 years,568535224,1402885839,29236
19,US,Female,65 to 69 years,485466360,1197862631,24963
19,US,Female,70 to 74 years,339307709,0,17447
19,US,Female,75 to 79 years,242043907,0,12446
19,US,Female,80 to 84 years,173536865,0,8923
19,US,Female,85 and over,203457754,0,10461
19,US,Female,Total,8014789480,17414436757,412168
19,US,Male,15 to 19 years,634625872,1566694874,32643
19,US,Male,20 to 24 years,660535161,1630618150,33976
19,US,Male,25 to 29 years,653770765,1613877656,33627
19,US,Male,30 to 34 years,602497742,1487265112,30989
19,US,Male,35 to 39 years,556712417,1374202629,28634
19,US,Male,40 to 44 years,512027758,1263860948,26335
19,US,Male,45 to 49 years,530222049,1308725289,27270
19,US,Male,50 to 54 years,534679637,1319678852,27499
19,US,Male,55 to 59 years,518837044,1280526154,26683
19,US,Male,60 to 64 years,440754276,1087766855,22667
19,US,Male,65 to 69 years,365633977,902332459,18803
19,US,Male,70 to 74 years,244529383,0,12575
19,US,Male,75 to 79 years,162428885,0,8352
19,US,Male,80 to 84 years,104042406,0,5350
19,US,Male,85 and over,90626643,0,4660
19,US,Male,Total,6611924015,14835548978,340063
20,US,Female,15 to 19 years,696874291,1720022914,35841
20,US,Female,20 to 24 years,721751186,1781385507,37120
20,US,Female,25 to 29 years,732541462,1807975179,37675
20,US,Female,30 to 34 years,690562793,1704325245,35515
20,US,Female,35 to 39 years,650787948,1606116459,33469
20,US,Female,40 to 44 years,608514592,1501744044,31294
20,US,Female,45 to 49 years,635183005,1567510004,32665
20,US,Female,50 to 54 years,653365622,1612327946,33600
20,US,Female,55 to 59 years,650046903,1604081935,33428
20,US,Female,60 to 64 years,572057255,1411578998,29417
20,US,Female,65 to 69 years,488473759,1205285226,25118
20,US,Female,70 to 74 years,341409657,0,17556
20,US,Female,75 to 79 years,243543309,0,12523
20,US,Female,80 to 84 years,174611873,0,8978
20,US,Female,85 and over,203718094,0,10526
20,US,Female,Total,8063441748,17522353457,414725
20,US,Male,15 to 19 years,638557897,1576404687,32846
20,US,Male,20 to 24 years,664627693,1640724032,34186
20,US,Male,25 to 29 years,657821363,1623879680,33836
20,US,Male,30 to 34 years,606230644,1496482350,31182
20,US,Male,35 to 39 years,560161627,1382719071,28811
20,US,Male,40 to 44 years,515200098,1271693468,26498
20,US,Male,45 to 49 years,533507094,1316835747,27439
20,US,Male,50 to 54 years,537992279,1327857087,27669
20,US,Male,55 to 59 years,522051512,1288461650,26849
20,US,Male,60 to 64 years,443484962,1094507719,22808
20,US,Male,65 to 69 years,367899241,907924113,18920
20,US,Male,70 to 74 years,246044340,0,12653
20,US,Male,75 to 79 years,163435189,0,8404
20,US,Male,80 to 84 years,104686981,0,5383
20,US,Male,85 and over,91188098,0,4689
20,US,Male,Total,6652889018,14927489604,342173
21,US,Female,15 to 19 years,699745418,1727110310,35989
21,US,Female,20 to 24 years,724724802,1788725732,37273
21,US,Female,25 to 29 years,735559530,1815424949,37830
21,US,Female,30 to 34 years,693407905,1711347907,35661
21,US,Female,35 to 39 years,653469184,1612734435,33607
21,US,Female,40 to 44 years,611021659,1507931937,31423
21,US,Female,45 to 49 years,637799942,1573968866,32800
21,US,Female,50 to 54 years,656057467,1618971457,33738
21,US,Female,55 to 59 years,652725071,1610691448,33566
21,US,Female,60 to 64 years,574414105,1417395297,29538
21,US,Female,65 to 69 years,490486246,1210251491,25222
21,US,Female,70 to 74 years,342816245,0,17628
21,US,Female,75 to 79 years,244546692,0,12574
21,US,Female,80 to 84 years,175331262,0,9015
21,US,Female,85 and over,205561516,0,10569
21,US,Female,Total,8097667044,17594553830,416434
21,US,Male,15 to 19 years,641188738,1582900312,32981
21,US,Male,20 to 24 years,667365936,1647484667,34327
21,US,Male,25 to 29 years,660531559,1630570887,33975
21,US,Male,30 to 34 years,608728284,1502648597,31310
21,US,Male,35 to 39 years,562469461,1388416539,28930
21,US,Male,40 to 44 years,517322688,1276933440,26608
21,US,Male,45 to 49 years,535705104,1322261707,27552
21,US,Male,50 to 54 years,540208763,1333328440,27783
21,US,Male,55 to 59 years,524202318,1293770657,26959
21,US,Male,60 to 64 years,445312077,1099017537,22901
21,US,Male,65 to 69 years,369414948,911665115,18998
21,US,Male,70 to 74 years,247058015,0,12705
21,US,Male,75 to 79 years,164108523,0,8439
21,US,Male,80 to 84 years,105118278,0,5405
21,US,Male,85 and over,91563780,0,4708
21,US,Male,Total,6680298472,14988997897,343583
22,US,Female,15 to 19 years,702628390,1734226949,36137
22,US,Female,20 to 24 years,727710686,1796096243,37427
22,US,Female,25 to 29 years,738590049,1822905457,37986
22,US,Female,30 to 34 years,696264755,1718399545,35808
22,US,Female,35 to 39 years,656161482,1619379717,33745
22,US,Female,40 to 44 years,613539069,1514145362,31553
22,US,Female,45 to 49 years,640427675,1580454377,32935
22,US,Female,50 to 54 years,658760417,1625642380,33877
22,US,Female,55 to 59 years,655414288,1617328233,33704
22,US,Female,60 to 64 years,576780679,1423235593,29660
22,US,Female,65 to 69 years,492507036,1215238246,25326
22,US,Female,70 to 74 years,344228636,0,17700
22,US,Female,75 to 79 years,245554215,0,12626
22,US,Female,80 to 84 years,176053618,0,9052
22,US,Female,85 and over,206408418,0,10613
22,US,Female,Total,8131029413,17667052103,418150
22,US,Male,15 to 19 years,643830434,1589422737,33117
22,US,Male,20 to 24 years,670115476,1654273196,34469
22,US,Male,25 to 29 years,663252937,1637289703,34115
22,US,Male,30 to 34 years,611236228,1508840286,31439
22,US,Male,35 to 39 years,564786815,1394137514,29049
22,US,Male,40 to 44 years,519454036,1282195031,26717
22,US,Male,45 to 49 years,537912182,1327710055,27666
22,US,Male,50 to 54 years,542434392,1338822368,27898
22,US,Male,55 to 59 years,526361997,1299101569,27071
22,US,Male,60 to 64 years,447146730,1103545962,22996
22,US,Male,65 to 69 years,370936907,915421552,19076
22,US,Male,70 to 74 years,248075872,0,12757
22,US,Male,75 to 79 years,164784634,0,8474
22,US,Male,80 to 84 years,105551354,0,5428
22,US,Male,85 and over,91941011,0,4727
22,US,Male,Total,6707821004,15050759974,344999
23,US,Female,15 to 19 years,705523256,1741372952,36286
23,US,Female,20 to 24 years,730708888,1803497166,37581
23,US,Female,25 to 29 years,741633070,1830416831,38142
23,US,Female,30 to 34 years,699133391,1725480278,35956
23,US,Female,35 to 39 years,658864887,1626052417,33884
23,US,Female,40 to 44 years,616066865,1520384424,31683
23,US,Female,45 to 49 years,643066249,1586966647,33071
23,US,Female,50 to 54 years,661474519,1632340828,34017
23,US,Female,55 to 59 years,658114600,1623992400,33843
23,US,Female,60 to 64 years,579157016,1429099987,29782
23,US,Female,65 to 69 years,494536162,1220245577,25430
23,US,Female,70 to 74 years,345646855,0,17773
23,US,Female,75 to 79 years,246565894,0,12678
23,US,Female,80 to 84 years,176778955,0,9090
23,US,Female,85 and over,207258814,0,10656
23,US,Female,Total,8164529420,17739849508,419873
23,US,Male,15 to 19 years,646483027,1595972075,33254
23,US,Male,20 to 24 years,672876359,1661089736,34611
23,US,Male,25 to 29 years,665985541,1644036241,34256
23,US,Male,30 to 34 years,613754519,1515057523,31569
23,US,Male,35 to 39 years,567113730,1399882095,29169
23,US,Male,40 to 44 years,521594176,1287478333,26827
23,US,Male,45 to 49 years,540128365,1333180882,27780
23,US,Male,50 to 54 years,544669202,1344338964,28013
23,US,Male,55 to 59 years,528530585,1304454477,27182
23,US,Male,60 to 64 years,448988952,1108093071,23091
23,US,Male,65 to 69 years,372465146,919193489,19155
23,US,Male,70 to 74 years,249097928,0,12810
23,US,Male,75 to 79 years,165463534,0,8509
23,US,Male,80 to 84 years,105986217,0,5450
23,US,Male,85 and over,92319800,0,4747
23,US,Male,Total,6735457081,15112776885,346420
24,US,Female,15 to 19 years,708430065,1748548441,36435
24,US,Female,20 to 24 years,733719460,1810928626,37736
