Year,State,Sex,Age,Uncontrolled_Direct Costs,Uncontrolled_Indirect Costs,Uncontrolled_QALYs_Lost
19,US,Female,15 to 19 years,692583497.910775,1709429054.70399,35620.0576864263
19,US,Female,20 to 24 years,717307251.261078,1770413817.74205,36891.1970768802
19,US,Female,25 to 29 years,728031120.990688,1796839840.04992,37442.2489959666
19,US,Female,30 to 34 years,686310950.40935,1693828403.38798,35296.1030355112
19,US,Female,35 to 39 years,646781030.576589,1596224595.00007,33262.6103727987
19,US,Female,40 to 44 years,604767980.733374,1492495108.06138,31101.4353741175
19,US,Female,45 to 49 years,631272227.822187,1557856151.70332,32463.8683946112
19,US,Female,50 to 54 years,649342927.308467,1602398203.19065,33392.5041216134
19,US,Female,55 to 59 years,646044674.205368,1594203112.31669,33222.1742704277
19,US,Female,60 to 64 years,568535224.22516,1402885839.38963,29235.655928595
19,US,Female,65 to 69 years,485466359.521327,1197862631.11399,24963.4096687196
19,US,Female,70 to 74 years,339307709.223349,0,17447.2555998722
19,US,Female,75 to 79 years,242043906.512406,0,12445.5908988609
19,US,Female,80 to 84 years,173536864.640667,0,8922.78498183403
19,US,Female,85 and over,203457754.415252,0,10460.7379048331
19,US,Female,Total,8014789479.75604,17414436756.6597,412167.634311068
19,US,Male,15 to 19 years,634625872.229442,1566694874.3782,32643.3075627492
19,US,Male,20 to 24 years,660535161.374117,1630618150.27038,33975.5424495416
19,US,Male,25 to 29 years,653770764.65824,1613877655.97322,33627.0889377922
19,US,Male,30 to 34 years,602497741.830757,1487265111.7227,30989.2982125243
19,US,Male,35 to 39 years,556712417.092408,1374202629.22365,28633.7990860486
19,US,Male,40 to 44 years,512027757.987406,1263860948.09193,26334.9508203179
19,US,Male,45 to 49 years,530222048.699986,1308725289.35771,27270.1115514599
19,US,Male,50 to 54 years,534679636.638312,1319678851.55071,27498.69467084
19,US,Male,55 to 59 years,518837044.470657,1280526153.8536,26683.1988249822
19,US,Male,60 to 64 years,440754275.941572,1087766855.06106,22666.8468637781
19,US,Male,65 to 69 years,365633977.160245,902332458.748748,18803.0356636212
19,US,Male,70 to 74 years,244529382.951645,0,12574.7256507667
19,US,Male,75 to 79 years,162428884.705942,0,8352.49034661414
19,US,Male,80 to 84 years,104042405.847857,0,5349.92368057173
19,US,Male,85 and over,90626642.9879067,0,4659.82868080257
19,US,Male,Total,6611924014.57649,14835548978.2319,340062.84300241
20,US,Female,15 to 19 years,696874290.906626,1720022913.53848,35841.0808016252
20,US,Female,20 to 24 years,721751186.058344,1781385506.83222,37120.1064640634
20,US,Female,25 to 29 years,732541461.766674,1807975179.19129,37674.5764253367
20,US,Female,30 to 34 years,690562793.362206,1704325245.0077,35515.1125341245
20,US,Female,35 to 39 years,650787947.655642,1606116459.45186,33469.0010517286
20,US,Female,40 to 44 years,608514591.546349,1501744043.95239,31294.4150920143
20,US,Female,45 to 49 years,635183005.268911,1567510004.39235,32665.3006008555
20,US,Female,50 to 54 years,653365621.970711,1612327945.72821,33599.6970622507
20,US,Female,55 to 59 years,650046903.319492,1604081934.70142,33428.3090436493
20,US,Female,60 to 64 years,572057254.742121,1411578997.92228,29417.0542247508
20,US,Female,65 to 69 years,488473758.951034,1205285226.44055,25118.2989362444
20,US,Female,70 to 74 years,341409656.509986,0,17555.5089905227
20,US,Female,75 to 79 years,243543309.069031,0,12522.8103595308
20,US,Female,80 to 84 years,174611872.677886,0,8978.14655453624
20,US,Female,85 and over,203718094.001676,0,10525.6409589465
20,US,Female,Total,8063441747.80669,17522353457.1587,414725.05910018
20,US,Male,15 to 19 years,638557896.721635,1576404687.48204,32845.8866069904
